location,terrain,region,lat,lon
An Giang,đồng bằng,Đồng Bằng Sông Cửu Long,10.7,105.1167
Bà Rịa Vũng Tàu,ven biển,Đông Nam Bộ,10.35,107.0667
Bắc Giang,miền núi,Trung du và miền núi Bắc Bộ,21.2667,106.2
Bắc Kạn,miền núi,Trung du và miền núi Bắc Bộ,22.1333,105.8333
Bạc Liêu,ven biển,Đồng Bằng Sông Cửu Long,9.285,105.7244
Bắc Ninh,đồng bằng,Đồng Bằng Sông Hồng,21.1833,106.05
Bến Tre,ven biển,Đồng Bằng Sông Cửu Long,10.2333,106.3833
Bình Định,ven biển,Bắc Trung Bộ và Duyên hải miền Trung,13.7667,109.2333
Bình Dương,đồng bằng,Đông Nam Bộ,11.2667,106.6
Bình Phước,miền núi,Đông Nam Bộ,11.5333,106.9167
Bình Thuận,ven biển,Bắc Trung Bộ và Duyên hải miền Trung,10.9333,108.1
Cà Mau,ven biển,Đồng Bằng Sông Cửu Long,9.1769,105.15
Cần Thơ,đồng bằng,Đồng Bằng Sông Cửu Long,10.0333,105.7833
Cao Bằng,miền núi,Trung du và miền núi Bắc Bộ,22.6667,106.25
Đà Nẵng,ven biển,Bắc Trung Bộ và Duyên hải miền Trung,16.0406,108.2125
Đắk Lắk,miền núi,Tây Nguyên,12.6667,108.05
Đắk Nông,miền núi,Tây Nguyên,12.3,107.5833
Điện Biên,miền núi,Trung du và miền núi Bắc Bộ,21.3833,103.0167
Đồng Nai,đồng bằng,Đông Nam Bộ,10.95,106.8167
Đồng Tháp,đồng bằng,Đồng Bằng Sông Cửu Long,10.6667,105.7333
Gia Lai,miền núi,Tây Nguyên,13.9833,108.0
Hà Giang,miền núi,Trung du và miền núi Bắc Bộ,22.8333,104.9833
Hà Nam,đồng bằng,Đồng Bằng Sông Hồng,20.5411,105.9139
Hà Nội,đồng bằng,Đồng Bằng Sông Hồng,21.0333,105.85
Hà Tĩnh,ven biển,Bắc Trung Bộ và Duyên hải miền Trung,18.3333,105.9
Hải Dương,đồng bằng,Đồng Bằng Sông Hồng,20.9333,106.3167
Hải Phòng,ven biển,Đồng Bằng Sông Hồng,20.8561,106.6822
Hậu Giang,đồng bằng,Đồng Bằng Sông Cửu Long,9.8333,105.6333
Hồ Chí Minh,đồng bằng,Đông Nam Bộ,10.75,106.6667
Hòa Bình,miền núi,Trung du và miền núi Bắc Bộ,20.8133,105.3383
Hưng Yên,đồng bằng,Đồng Bằng Sông Hồng,20.65,106.0667
Khánh Hòa,ven biển,Bắc Trung Bộ và Duyên hải miền Trung,12.4833,109.1167
Kiên Giang,ven biển,Đồng Bằng Sông Cửu Long,10.0167,105.0833
Kon Tum,miền núi,Tây Nguyên,14.35,108.0
Lai Châu,miền núi,Trung du và miền núi Bắc Bộ,22.3833,102.95
Lâm Đồng,miền núi,Tây Nguyên,11.9333,108.4167
Lạng Sơn,miền núi,Trung du và miền núi Bắc Bộ,21.8333,106.7333
Lào Cai,miền núi,Trung du và miền núi Bắc Bộ,22.4833,103.95
Long An,đồng bằng,Đồng Bằng Sông Cửu Long,10.5333,106.4167
Nam Định,ven biển,Đồng Bằng Sông Hồng,20.4167,106.1667
Nghệ An,ven biển,Bắc Trung Bộ và Duyên hải miền Trung,18.6667,105.6667
Ninh Bình,đồng bằng,Đồng Bằng Sông Hồng,20.2539,105.975
Ninh Thuận,ven biển,Bắc Trung Bộ và Duyên hải miền Trung,11.8167,108.8833
Phú Thọ,miền núi,Đồng Bằng Sông Hồng,21.3019,105.4308
Phú Yên,ven biển,Bắc Trung Bộ và Duyên hải miền Trung,13.35,109.0333
Quảng Bình,ven biển,Bắc Trung Bộ và Duyên hải miền Trung,17.5,106.6333
Quảng Nam,ven biển,Bắc Trung Bộ và Duyên hải miền Trung,15.8794,108.335
Quảng Ngãi,ven biển,Bắc Trung Bộ và Duyên hải miền Trung,15.1167,108.8
Quảng Ninh,ven biển,Trung du và miền núi Bắc Bộ,21.0167,107.3167
Quảng Trị,ven biển,Bắc Trung Bộ và Duyên hải miền Trung,16.7,107.1667
Sóc Trăng,ven biển,Đồng Bằng Sông Cửu Long,9.6033,105.98
Sơn La,miền núi,Trung du và miền núi Bắc Bộ,21.3167,103.9
Tây Ninh,đồng bằng,Đông Nam Bộ,11.3,106.1
Thái Bình,ven biển,Đồng Bằng Sông Hồng,20.45,106.3333
Thái Nguyên,miền núi,Trung du và miền núi Bắc Bộ,21.5928,105.8442
Thanh Hóa,ven biển,Bắc Trung Bộ và Duyên hải miền Trung,19.8,105.7667
Thừa Thiên Huế,ven biển,Bắc Trung Bộ và Duyên hải miền Trung,16.4667,107.6
Tiền Giang,ven biển,Đồng Bằng Sông Cửu Long,10.35,106.35
Trà Vinh,ven biển,Đồng Bằng Sông Cửu Long,9.9347,106.3453
Tuyên Quang,miền núi,Trung du và miền núi Bắc Bộ,21.8233,105.2181
Vĩnh Long,đồng bằng,Đồng Bằng Sông Cửu Long,10.25,105.9667
Vĩnh Phúc,đồng bằng,Đồng Bằng Sông Hồng,21.31,105.5967
Yên Bái,miền núi,Trung du và miền núi Bắc Bộ,21.7,104.8667
